"","","Under-five mortality rate (per 1000 live births) (SDG 3.2.1)","Under-five mortality rate (per 1000 live births) (SDG 3.2.1)","Under-five mortality rate (per 1000 live births) (SDG 3.2.1)","Number of deaths among children under-five","Number of deaths among children under-five","Number of deaths among children under-five"
"Countries, territories and areas","Year"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"
"Bhutan"," 1979","201.36 [169.88-239.56]","206.57 [174.03-246.77]","195.48 [163.85-233.34]","3 358 [2 845-3 976]","1 765 [1 492-2 095]","1 593 [1 340-1 891]"
"Bhutan"," 1978","208.74 [175.28-250.44]","214.62 [179.62-257.32]","203.01 [169.15-243.87]","3 397 [2 865-4 050]","1 786 [1 502-2 132]","1 611 [1 349-1 926]"
"Bhutan"," 1977","216.54 [180.36-261.4]","222.37 [184.81-268.37]","210.42 [174.15-254.85]","3 437 [2 877-4 124]","1 806 [1 509-2 165]","1 631 [1 355-1 963]"
"Bhutan"," 1976","224.45 [185.57-272.3]","230.37 [189.92-279.85]","218.2 [179.33-265.71]","3 473 [2 884-4 189]","1 825 [1 512-2 202]","1 648 [1 361-1 996]"
"Bhutan"," 1975","232.06 [190.14-283.78]","238.2 [194.74-291.33]","225.74 [184.3-276.73]","3 499 [2 883-4 252]","1 837 [1 512-2 235]","1 662 [1 365-2 023]"
"Bhutan"," 1974","239.75 [195.12-295.36]","246.27 [199.62-303.73]","233.21 [188.63-288.2]","3 524 [2 883-4 314]","1 851 [1 511-2 269]","1 673 [1 362-2 055]"
"Bhutan"," 1973","247.88 [199.57-307.91]","254.67 [204.56-316.63]","241.07 [193.15-300.06]","3 555 [2 880-4 382]","1 868 [1 511-2 305]","1 687 [1 362-2 086]"
"Bhutan"," 1972","256.17 [203.87-321.09]","262.93 [208.62-330.4]","249.09 [197.63-313.25]","","",""
"Bhutan"," 1971","264.4 [207.88-334.61]","271.52 [212.76-344.36]","256.94 [201.86-326.61]","","",""
"Bhutan"," 1970","272.54 [211.6-349.91]","280.05 [216.34-360.05]","265.13 [205.5-341.55]","","",""
"Bhutan"," 1969","281.2 [215.07-366.77]","288.93 [220.33-377.82]","273.52 [209.15-357.52]","","",""
"Bhutan"," 1968","290.52 [217.33-385]","298.18 [222.61-396.75]","282.19 [211.44-374.88]","","",""
"Democratic People's Republic of Korea"," 2021","15.4 [12.1-19.7]","16.88 [13.15-21.59]","13.87 [10.84-17.91]","5 297 [4 154-6 784]","2 983 [2 329-3 816]","2 314 [1 811-2 991]"
"Democratic People's Republic of Korea"," 2020","16.5 [12.9-21.2]","18.13 [14.15-23.23]","14.81 [11.58-19.13]","5 691 [4 466-7 294]","3 214 [2 513-4 118]","2 477 [1 940-3 203]"
"Democratic People's Republic of Korea"," 2019","17.3 [13.6-22.2]","19.03 [14.85-24.37]","15.49 [12.11-19.99]","5 968 [4 681-7 644]","3 376 [2 636-4 322]","2 592 [2 029-3 347]"
"Democratic People's Republic of Korea"," 2018","18.2 [14.2-23.2]","19.96 [15.56-25.54]","16.24 [12.69-20.94]","6 248 [4 883-7 973]","3 535 [2 750-4 508]","2 713 [2 115-3 488]"
"Democratic People's Republic of Korea"," 2017","19 [14.9-24.4]","20.93 [16.3-26.8]","17.04 [13.3-21.98]","6 484 [5 091-8 312]","3 667 [2 863-4 702]","2 817 [2 204-3 638]"
"Democratic People's Republic of Korea"," 2016","20 [15.7-25.6]","21.98 [17.13-28.12]","17.88 [13.97-23.07]","6 772 [5 305-8 662]","3 831 [2 986-4 894]","2 941 [2 299-3 792]"
"Democratic People's Republic of Korea"," 2015","21.1 [16.5-27]","23.2 [18.09-29.68]","18.85 [14.74-24.33]","7 069 [5 535-9 036]","4 001 [3 118-5 111]","3 068 [2 399-3 954]"
