"","","Under-five mortality rate (per 1000 live births) (SDG 3.2.1)","Under-five mortality rate (per 1000 live births) (SDG 3.2.1)","Under-five mortality rate (per 1000 live births) (SDG 3.2.1)","Number of deaths among children under-five","Number of deaths among children under-five","Number of deaths among children under-five"
"Countries, territories and areas","Year"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"
"Armenia"," 1977","83.4 [70.51-98.06]","90.13 [75.86-106.54]","76.17 [64.08-89.96]","","",""
"Armenia"," 1976","86.93 [72.33-103.68]","93.77 [77.77-112.29]","79.49 [65.95-95.54]","","",""
"Austria"," 2021","3.66 [3.29-4.07]","3.99 [3.58-4.46]","3.31 [2.96-3.7]","308 [277-343]","172 [155-193]","136 [121-152]"
"Austria"," 2020","3.62 [3.37-3.9]","3.95 [3.66-4.27]","3.28 [3.03-3.55]","306 [284-329]","171 [158-185]","135 [124-146]"
"Austria"," 2019","3.58 [3.41-3.77]","3.91 [3.7-4.14]","3.24 [3.06-3.44]","305 [290-321]","171 [161-180]","134 [126-142]"
"Austria"," 2018","3.56 [3.41-3.72]","3.89 [3.7-4.08]","3.22 [3.06-3.39]","305 [292-319]","171 [163-180]","134 [127-141]"
"Austria"," 2017","3.57 [3.42-3.72]","3.9 [3.72-4.09]","3.23 [3.06-3.39]","307 [294-320]","172 [164-181]","135 [128-142]"
"Austria"," 2016","3.61 [3.45-3.76]","3.94 [3.75-4.13]","3.26 [3.09-3.43]","304 [291-317]","171 [163-179]","133 [126-140]"
"Austria"," 2015","3.67 [3.52-3.82]","4.01 [3.83-4.2]","3.31 [3.15-3.48]","300 [287-312]","169 [161-177]","131 [125-137]"
"Austria"," 2014","3.77 [3.61-3.92]","4.12 [3.93-4.31]","3.4 [3.23-3.57]","300 [287-312]","169 [161-177]","131 [124-137]"
"Austria"," 2013","3.9 [3.74-4.06]","4.26 [4.07-4.47]","3.51 [3.34-3.68]","306 [293-318]","173 [165-181]","133 [127-140]"
"Austria"," 2012","4.05 [3.88-4.22]","4.43 [4.23-4.65]","3.64 [3.47-3.82]","315 [302-329]","178 [170-187]","137 [131-144]"
"Austria"," 2011","4.2 [4.03-4.38]","4.61 [4.4-4.83]","3.77 [3.59-3.96]","326 [313-341]","184 [176-193]","142 [135-149]"
"Austria"," 2010","4.34 [4.16-4.52]","4.76 [4.55-4.98]","3.89 [3.71-4.08]","334 [321-348]","188 [180-197]","146 [139-153]"
"Austria"," 2009","4.45 [4.27-4.64]","4.89 [4.67-5.12]","3.99 [3.81-4.19]","342 [328-356]","193 [184-202]","149 [142-157]"
"Austria"," 2008","4.54 [4.37-4.73]","4.99 [4.78-5.22]","4.07 [3.89-4.27]","348 [335-363]","196 [188-205]","152 [145-160]"
"Austria"," 2007","4.63 [4.45-4.82]","5.09 [4.87-5.32]","4.15 [3.96-4.35]","356 [342-370]","200 [191-209]","156 [149-163]"
"Austria"," 2006","4.75 [4.56-4.94]","5.21 [4.99-5.45]","4.25 [4.06-4.46]","368 [353-383]","207 [198-216]","161 [154-169]"
"Austria"," 2005","4.9 [4.72-5.09]","5.37 [5.15-5.61]","4.4 [4.2-4.6]","381 [366-395]","214 [205-223]","167 [159-174]"
"Austria"," 2004","5.06 [4.87-5.26]","5.56 [5.32-5.8]","4.54 [4.35-4.76]","391 [376-407]","220 [211-230]","171 [164-179]"
"Austria"," 2003","5.21 [5.02-5.41]","5.72 [5.48-5.97]","4.67 [4.47-4.89]","401 [386-417]","226 [216-236]","175 [168-183]"
