"","","Under-five mortality rate (per 1000 live births) (SDG 3.2.1)","Under-five mortality rate (per 1000 live births) (SDG 3.2.1)","Under-five mortality rate (per 1000 live births) (SDG 3.2.1)","Number of deaths among children under-five","Number of deaths among children under-five","Number of deaths among children under-five"
"Countries, territories and areas","Year"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"
"Antigua and Barbuda"," 1954","108.51 [103.48-113.92]","112.38 [106.36-118.77]","104.51 [98.53-110.57]","","",""
"Antigua and Barbuda"," 1953","111.28 [106.08-116.9]","115.09 [109-121.7]","107.33 [101.21-113.79]","","",""
"Antigua and Barbuda"," 1952","113.96 [108.27-120.07]","117.64 [111.1-125.01]","110.05 [103.46-117.11]","","",""
"Antigua and Barbuda"," 1951","116.46 [109.48-124.16]","120.21 [112.39-128.85]","112.56 [104.74-121.03]","","",""
"Antigua and Barbuda"," 1950","118.83 [109.66-129.31]","122.6 [112.58-133.86]","114.9 [105.24-125.83]","","",""
"Antigua and Barbuda"," 1949","121.28 [108.79-135.87]","","","","",""
"Argentina"," 2021","6.92 [6.58-7.29]","7.76 [7.37-8.2]","6.03 [5.72-6.37]","4 410 [4 194-4 645]","2 534 [2 406-2 677]","1 876 [1 778-1 981]"
"Argentina"," 2020","7.7 [7.46-7.96]","8.68 [8.39-8.99]","6.68 [6.45-6.92]","5 037 [4 881-5 204]","2 908 [2 812-3 011]","2 129 [2 057-2 207]"
"Argentina"," 2019","8.58 [8.4-8.77]","9.69 [9.47-9.92]","7.41 [7.23-7.6]","5 778 [5 653-5 906]","3 345 [3 267-3 424]","2 433 [2 373-2 495]"
"Argentina"," 2018","9.45 [9.27-9.63]","10.62 [10.4-10.85]","8.22 [8.04-8.41]","6 595 [6 468-6 723]","3 800 [3 721-3 881]","2 795 [2 733-2 861]"
"Argentina"," 2017","10.25 [10.06-10.46]","11.34 [11.1-11.59]","9.11 [8.91-9.32]","7 436 [7 294-7 584]","4 221 [4 132-4 316]","3 215 [3 145-3 291]"
"Argentina"," 2016","10.97 [10.76-11.19]","12.09 [11.83-12.36]","9.79 [9.58-10.03]","8 133 [7 975-8 298]","4 604 [4 506-4 707]","3 529 [3 452-3 614]"
"Argentina"," 2015","11.59 [11.38-11.82]","12.71 [12.45-12.98]","10.42 [10.19-10.65]","8 671 [8 509-8 838]","4 887 [4 788-4 992]","3 784 [3 702-3 869]"
"Argentina"," 2014","12.17 [11.94-12.4]","13.32 [13.04-13.61]","10.95 [10.72-11.2]","9 078 [8 904-9 253]","5 112 [5 004-5 223]","3 966 [3 882-4 056]"
"Argentina"," 2013","12.75 [12.51-12.99]","13.95 [13.67-14.24]","11.49 [11.24-11.74]","9 470 [9 295-9 649]","5 332 [5 226-5 445]","4 138 [4 051-4 233]"
"Argentina"," 2012","13.34 [13.09-13.6]","14.61 [14.31-14.92]","12.01 [11.75-12.28]","9 855 [9 671-10 043]","5 553 [5 442-5 673]","4 302 [4 211-4 400]"
"Argentina"," 2011","13.93 [13.66-14.2]","15.27 [14.95-15.6]","12.52 [12.24-12.79]","10 222 [10 026-10 424]","5 767 [5 649-5 896]","4 455 [4 359-4 555]"
"Argentina"," 2010","14.48 [14.21-14.75]","15.93 [15.6-16.26]","12.96 [12.67-13.24]","10 536 [10 339-10 735]","5 963 [5 845-6 090]","4 573 [4 476-4 675]"
"Argentina"," 2009","14.96 [14.67-15.25]","16.48 [16.14-16.83]","13.37 [13.08-13.67]","10 772 [10 565-10 980]","6 103 [5 980-6 236]","4 669 [4 569-4 774]"
"Argentina"," 2008","15.37 [15.08-15.66]","16.89 [16.55-17.25]","13.76 [13.47-14.06]","11 000 [10 794-11 212]","6 225 [6 101-6 358]","4 775 [4 676-4 883]"
"Argentina"," 2007","15.72 [15.43-16.03]","17.31 [16.96-17.68]","14.06 [13.76-14.37]","11 256 [11 049-11 475]","6 377 [6 252-6 519]","4 879 [4 778-4 990]"
"Argentina"," 2006","16.11 [15.8-16.43]","17.75 [17.38-18.14]","14.39 [14.08-14.7]","11 527 [11 306-11 755]","6 530 [6 397-6 676]","4 997 [4 890-5 108]"
"Argentina"," 2005","16.59 [16.27-16.9]","18.29 [17.91-18.67]","14.8 [14.48-15.12]","11 803 [11 579-12 029]","6 683 [6 548-6 825]","5 120 [5 011-5 231]"
"Argentina"," 2004","17.13 [16.8-17.46]","18.8 [18.41-19.21]","15.36 [15.02-15.7]","12 108 [11 875-12 342]","6 823 [6 680-6 970]","5 285 [5 171-5 402]"
"Argentina"," 2003","17.72 [17.38-18.05]","19.41 [19.01-19.82]","15.93 [15.59-16.28]","12 535 [12 294-12 773]","7 045 [6 901-7 194]","5 490 [5 371-5 609]"
