"","","Under-five mortality rate (per 1000 live births) (SDG 3.2.1)","Under-five mortality rate (per 1000 live births) (SDG 3.2.1)","Under-five mortality rate (per 1000 live births) (SDG 3.2.1)","Number of deaths among children under-five","Number of deaths among children under-five","Number of deaths among children under-five"
"Countries, territories and areas","Year"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"
"Bahrain"," 2021","6.92 [5.9-8.12]","7.23 [6.16-8.49]","6.59 [5.6-7.78]","128 [109-150]","68 [58-80]","60 [51-71]"
"Bahrain"," 2020","7.03 [6.18-8.01]","7.34 [6.43-8.37]","6.71 [5.86-7.69]","138 [121-157]","74 [64-83]","64 [56-74]"
"Bahrain"," 2019","7.12 [6.42-7.89]","7.42 [6.67-8.25]","6.79 [6.1-7.57]","144 [130-160]","76 [69-85]","68 [61-75]"
"Bahrain"," 2018","7.19 [6.63-7.79]","7.48 [6.87-8.14]","6.88 [6.3-7.51]","149 [137-162]","79 [73-86]","70 [64-76]"
"Bahrain"," 2017","7.26 [6.79-7.75]","7.54 [7.01-8.09]","6.97 [6.48-7.5]","152 [142-162]","80 [75-86]","72 [66-77]"
"Bahrain"," 2016","7.34 [6.91-7.77]","7.6 [7.12-8.09]","7.07 [6.62-7.56]","154 [145-163]","81 [76-87]","73 [68-78]"
"Bahrain"," 2015","7.44 [7.03-7.85]","7.68 [7.22-8.16]","7.17 [6.74-7.64]","154 [146-163]","81 [76-86]","73 [69-78]"
"Bahrain"," 2014","7.55 [7.16-7.95]","7.79 [7.35-8.27]","7.28 [6.86-7.74]","152 [144-160]","80 [75-85]","72 [67-76]"
"Bahrain"," 2013","7.69 [7.31-8.1]","7.97 [7.53-8.45]","7.39 [6.97-7.85]","150 [143-158]","79 [75-84]","71 [67-75]"
"Bahrain"," 2012","7.89 [7.5-8.3]","8.17 [7.72-8.65]","7.58 [7.16-8.04]","152 [144-160]","80 [76-85]","72 [67-76]"
"Bahrain"," 2011","8.14 [7.75-8.57]","8.43 [7.97-8.93]","7.83 [7.4-8.32]","156 [148-164]","82 [78-87]","74 [69-78]"
"Bahrain"," 2010","8.47 [8.07-8.91]","8.77 [8.29-9.28]","8.16 [7.72-8.65]","159 [152-168]","84 [79-89]","75 [71-80]"
"Bahrain"," 2009","8.88 [8.47-9.32]","9.21 [8.72-9.74]","8.53 [8.07-9.03]","162 [154-170]","86 [81-90]","76 [72-81]"
"Bahrain"," 2008","9.34 [8.91-9.8]","9.68 [9.17-10.24]","8.98 [8.49-9.5]","166 [159-174]","87 [83-93]","79 [74-83]"
"Bahrain"," 2007","9.81 [9.36-10.28]","10.16 [9.61-10.73]","9.44 [8.94-9.97]","172 [164-180]","91 [86-96]","81 [77-86]"
"Bahrain"," 2006","10.25 [9.79-10.74]","10.62 [10.06-11.2]","9.86 [9.33-10.41]","177 [169-186]","93 [89-99]","84 [79-89]"
"Bahrain"," 2005","10.65 [10.16-11.16]","11.02 [10.43-11.63]","10.25 [9.71-10.81]","179 [171-187]","94 [89-99]","85 [80-89]"
"Bahrain"," 2004","10.98 [10.48-11.5]","11.35 [10.74-11.98]","10.59 [10.04-11.17]","177 [169-185]","93 [88-98]","84 [80-89]"
"Bahrain"," 2003","11.29 [10.77-11.83]","11.67 [11.05-12.32]","10.87 [10.3-11.48]","175 [167-183]","92 [87-97]","83 [78-87]"
"Bahrain"," 2002","11.61 [11.08-12.16]","11.99 [11.36-12.65]","11.2 [10.61-11.8]","173 [165-181]","91 [86-96]","82 [77-86]"
"Bahrain"," 2001","11.99 [11.44-12.55]","12.38 [11.74-13.04]","11.57 [10.96-12.21]","175 [167-183]","92 [87-97]","83 [78-87]"
"Bahrain"," 2000","12.48 [11.92-13.06]","12.89 [12.23-13.58]","12.04 [11.4-12.7]","182 [173-190]","96 [91-101]","86 [81-91]"
"Bahrain"," 1999","13.14 [12.56-13.75]","13.54 [12.87-14.25]","12.71 [12.04-13.4]","188 [180-197]","99 [94-104]","89 [85-94]"
"Bahrain"," 1998","14.02 [13.4-14.66]","14.45 [13.74-15.19]","13.57 [12.87-14.29]","197 [188-206]","104 [98-109]","93 [89-98]"
"Bahrain"," 1997","15.18 [14.54-15.86]","15.63 [14.89-16.42]","14.7 [13.96-15.45]","210 [201-219]","110 [105-116]","100 [95-105]"
"Bahrain"," 1996","16.59 [15.92-17.3]","17.06 [16.26-17.89]","16.08 [15.31-16.9]","229 [220-239]","120 [114-126]","109 [104-114]"
"Bahrain"," 1995","18.14 [17.45-18.86]","18.66 [17.81-19.51]","17.58 [16.78-18.45]","251 [242-261]","131 [126-138]","120 [114-125]"
"Bahrain"," 1994","19.68 [18.98-20.43]","20.25 [19.38-21.13]","19.09 [18.25-20]","275 [266-286]","144 [138-151]","131 [125-137]"
"Bahrain"," 1993","21.05 [20.32-21.83]","21.63 [20.74-22.57]","20.44 [19.59-21.38]","297 [286-307]","156 [149-162]","141 [135-148]"
"Bahrain"," 1992","22.06 [21.31-22.86]","22.65 [21.73-23.6]","21.43 [20.54-22.39]","309 [299-320]","162 [155-169]","147 [141-154]"
"Bahrain"," 1991","22.68 [21.89-23.5]","23.29 [22.32-24.28]","22.03 [21.11-23.01]","317 [306-328]","166 [159-173]","151 [145-158]"
"Bahrain"," 1990","23.01 [22.18-23.86]","23.65 [22.67-24.65]","22.33 [21.37-23.32]","321 [309-333]","168 [161-175]","153 [146-159]"
"Bahrain"," 1989","23.19 [22.35-24.03]","23.87 [22.86-24.88]","22.46 [21.49-23.46]","318 [306-329]","167 [160-174]","151 [144-158]"
"Bahrain"," 1988","23.35 [22.52-24.22]","24.09 [23.08-25.12]","22.59 [21.59-23.6]","312 [301-324]","164 [157-171]","148 [142-155]"
"Bahrain"," 1987","23.68 [22.85-24.54]","24.49 [23.48-25.53]","22.84 [21.82-23.84]","310 [300-321]","163 [157-170]","147 [140-153]"
"Bahrain"," 1986","24.23 [23.36-25.09]","25.12 [24.08-26.18]","23.28 [22.24-24.32]","308 [297-319]","162 [156-170]","146 [139-152]"
"Bahrain"," 1985","25.01 [24.11-25.88]","26.02 [24.93-27.11]","23.96 [22.91-25.01]","306 [295-316]","162 [155-169]","144 [138-150]"
"Bahrain"," 1984","26.05 [25.15-26.95]","27.17 [26.01-28.28]","24.89 [23.82-26]","306 [295-316]","163 [155-169]","143 [137-150]"
"Bahrain"," 1983","27.32 [26.36-28.27]","28.5 [27.31-29.71]","26.07 [24.92-27.27]","309 [299-320]","164 [157-171]","145 [139-152]"
"Bahrain"," 1982","28.75 [27.73-29.81]","30.03 [28.73-31.38]","27.4 [26.16-28.68]","315 [304-326]","167 [160-174]","148 [141-155]"
"Bahrain"," 1981","30.36 [29.17-31.6]","31.77 [30.3-33.32]","28.9 [27.48-30.35]","323 [311-336]","171 [164-180]","152 [145-160]"
"Bahrain"," 1980","32.27 [30.78-33.78]","33.74 [31.97-35.6]","30.7 [29.02-32.46]","336 [320-351]","178 [168-187]","158 [149-167]"
"Bahrain"," 1979","34.48 [32.61-36.4]","36.08 [33.9-38.36]","32.78 [30.73-34.9]","349 [331-369]","184 [173-196]","165 [154-175]"
"Bahrain"," 1978","37.04 [34.68-39.52]","38.7 [36.05-41.56]","35.24 [32.75-37.89]","364 [342-388]","192 [179-206]","172 [160-185]"
"Bahrain"," 1977","39.94 [37.04-43.08]","41.7 [38.42-45.25]","38.06 [35.02-41.37]","381 [354-411]","201 [185-217]","180 [166-196]"
"Bahrain"," 1976","43.24 [39.67-47.2]","45.09 [41.16-49.39]","41.29 [37.59-45.36]","400 [367-436]","211 [192-230]","189 [173-208]"
