"","","Under-five mortality rate (per 1000 live births) (SDG 3.2.1)","Under-five mortality rate (per 1000 live births) (SDG 3.2.1)","Under-five mortality rate (per 1000 live births) (SDG 3.2.1)","Number of deaths among children under-five","Number of deaths among children under-five","Number of deaths among children under-five"
"Countries, territories and areas","Year"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"
"Australia"," 1962","23.71 [23.27-24.18]","26.37 [25.83-26.94]","20.92 [20.46-21.42]","5 524 [5 421-5 632]","3 155 [3 091-3 225]","2 369 [2 317-2 426]"
"Australia"," 1961","24.28 [23.81-24.76]","26.97 [26.41-27.56]","21.46 [20.96-21.96]","5 573 [5 466-5 683]","3 178 [3 112-3 248]","2 395 [2 340-2 453]"
"Australia"," 1960","24.85 [24.38-25.33]","27.56 [26.98-28.14]","22.01 [21.51-22.51]","5 543 [5 439-5 651]","3 154 [3 089-3 222]","2 389 [2 336-2 444]"
"Australia"," 1959","25.42 [24.93-25.92]","28.19 [27.6-28.81]","22.52 [22.01-23.04]","5 571 [5 463-5 680]","3 168 [3 101-3 237]","2 403 [2 349-2 459]"
"Australia"," 1958","26.01 [25.52-26.51]","28.8 [28.2-29.43]","23.07 [22.55-23.58]","5 612 [5 507-5 720]","3 189 [3 123-3 259]","2 423 [2 369-2 478]"
"Australia"," 1957","26.61 [26.11-27.13]","29.46 [28.84-30.08]","23.63 [23.1-24.16]","5 622 [5 518-5 732]","3 196 [3 131-3 266]","2 426 [2 373-2 482]"
"Australia"," 1956","27.26 [26.74-27.8]","30.14 [29.51-30.79]","24.23 [23.67-24.8]","5 616 [5 510-5 728]","3 188 [3 122-3 258]","2 428 [2 373-2 486]"
"Australia"," 1955","27.96 [27.44-28.5]","30.98 [30.32-31.63]","24.8 [24.23-25.37]","5 640 [5 534-5 747]","3 203 [3 135-3 271]","2 437 [2 381-2 493]"
"Australia"," 1954","28.71 [28.13-29.29]","31.85 [31.14-32.55]","25.41 [24.81-26.02]","","",""
"Australia"," 1953","29.49 [28.9-30.09]","32.67 [31.95-33.4]","26.14 [25.53-26.76]","","",""
"Australia"," 1952","30.25 [29.66-30.87]","33.55 [32.82-34.31]","26.79 [26.17-27.43]","","",""
"Australia"," 1951","30.97 [30.28-31.66]","34.28 [33.44-35.12]","27.49 [26.79-28.22]","","",""
"Australia"," 1950","31.59 [30.57-32.63]","34.95 [33.76-36.16]","28.06 [27.08-29.08]","","",""
"Australia"," 1949","32.16 [30.43-33.9]","","","","",""
"Brunei Darussalam"," 2021","11.48 [9.6-13.74]","12.48 [10.41-14.98]","10.41 [8.68-12.54]","72 [60-86]","41 [34-49]","31 [26-38]"
"Brunei Darussalam"," 2020","11.5 [9.91-13.36]","12.5 [10.73-14.55]","10.44 [8.97-12.18]","73 [63-85]","41 [36-48]","32 [27-37]"
"Brunei Darussalam"," 2019","11.4 [10.13-12.9]","12.39 [10.94-14.08]","10.36 [9.15-11.76]","74 [66-84]","42 [37-48]","32 [29-37]"
"Brunei Darussalam"," 2018","11.23 [10.21-12.4]","12.18 [11.02-13.53]","10.22 [9.23-11.35]","75 [68-83]","42 [38-47]","33 [29-36]"
